job_family;checked;created_by;updated_by
Insurance Broker;TRUE;1;1
Interior Designer;TRUE;1;1
Interpreter/Translator;TRUE;1;1
IT Security;TRUE;1;1
Jeweller;TRUE;1;1
Journalist;TRUE;1;1
Laboratory Assistant;TRUE;1;1
Laboratory Manager;TRUE;1;1
Landscape Architect;TRUE;1;1
Legal Assistant;TRUE;1;1
Legal Expert;TRUE;1;1
Librarian/Archivist;TRUE;1;1
Lighting Engineer;TRUE;1;1
Locksmith;TRUE;1;1
Machine Operator;TRUE;1;1
Maintenance;TRUE;1;1
Manager;TRUE;1;1
Marine Biologist;TRUE;1;1
Market Researcher;TRUE;1;1
Marketing;TRUE;1;1
Massage Therapist;TRUE;1;1
Mechanic;TRUE;1;1
Medical Administrator;TRUE;1;1
Medical Professional;TRUE;1;1
Merchandizer;TRUE;1;1
Metal Fabricator;TRUE;1;1
Midwife;TRUE;1;1
Miner;TRUE;1;1
Mining Engineer;TRUE;1;1
Minister of Religion;TRUE;1;1
Musician;TRUE;1;1
Network Specialist;TRUE;1;1
Nurse;TRUE;1;1
Nursery Assistant;TRUE;1;1
Optician;TRUE;1;1
Painter/Decorator;TRUE;1;1
Panelbeater;TRUE;1;1
Park Ranger;TRUE;1;1
Pathologist;TRUE;1;1
Pharmacist;TRUE;1;1
Physiotherapist;TRUE;1;1
Picture Framer;TRUE;1;1
Pilot;TRUE;1;1
Planning Officer;TRUE;1;1
Plant Operator;TRUE;1;1
Plasterer;TRUE;1;1
Plumber;TRUE;1;1
Police Officer;TRUE;1;1
Potter/Ceramic Artist;TRUE;1;1
Press Officer;TRUE;1;1
Printer;TRUE;1;1
Prison Warden;TRUE;1;1
Probation Officer;TRUE;1;1
Production Manager;TRUE;1;1
Project Manager;TRUE;1;1
Psychiatrist;TRUE;1;1
Psychologist;TRUE;1;1
Public Relations;TRUE;1;1
Publishing;TRUE;1;1
Quality Assurance;TRUE;1;1
Quantity Surveyor;TRUE;1;1
Radio/TV Presenter;TRUE;1;1
Receptionist;TRUE;1;1
Recreation Assistant;TRUE;1;1
Recreation Manager;TRUE;1;1
Recruiter;TRUE;1;1
Roof Tiler;TRUE;1;1
Sailmaker;TRUE;1;1
Sailor;TRUE;1;1
Sales Manager;TRUE;1;1
Salesperson;TRUE;1;1
Scaffolder;TRUE;1;1
Scientific Researcher;TRUE;1;1
Scientist;TRUE;1;1
Screen Printer;TRUE;1;1
Search Engine Specialist;TRUE;1;1
Secretary;TRUE;1;1
Senior Manager;TRUE;1;1
Sheetmetal Worker;TRUE;1;1
Shelf-Stocker;TRUE;1;1
Shoemaker;TRUE;1;1
Shop Assistant;TRUE;1;1
Signwriter;TRUE;1;1
Sound Engineer;TRUE;1;1
Speech Therapist;TRUE;1;1
Sports Administrator;TRUE;1;1
Sports Coach;TRUE;1;1
